id,conversation_id,created_at,date,time,tweet,hashtags
1446019716879986691,1443153927286018054,2021-10-07 00:49:00 Pacific Daylight Time,2021-10-07,00:49:00,"@binance @beta_finance Tomorrow is the D day, time is running, buy now BNB to ha chance to participate in the  BETA TOKEN sale.. Tomorrow at 8:00 AM",[]
1446019699507179523,1446019699507179523,2021-10-07 00:48:56 Pacific Daylight Time,2021-10-07,00:48:56,Top 5 Mentions Updated Every 15 Minutes    [BETA STAGE] Except BTC and ETH      1- $BNB:723040 point 🚀    2- $XRP:676340 point 🚀    3- $XLM:615300 point 🚀    4- $FTM:296485 point 🚀    5- $LINK:290385 point 🚀,[]
1446019698173231107,1445919556841603075,2021-10-07 00:48:56 Pacific Daylight Time,2021-10-07,00:48:56,@TheTrendyStuff Just take a look at this beauty of a shot!  TG: MicroPets @MicroPetsBSC #microPets #nftcollector #BSCGems #100XGem #crypto #bnb @elonmusk @davidgokhshtein @Krystal_Strand_ @kokid951 @DreamBigBeBig20  https://t.co/ga7LxKNpRB  https://t.co/wuAmVfU4ug  https://t.co/xi81PPnD1E,"['micropets', 'nftcollector', 'bscgems', '100xgem', 'crypto', 'bnb']"
1446019699964190731,1446019699964190731,2021-10-07 00:48:56 Pacific Daylight Time,2021-10-07,00:48:56,#BNB,['bnb']
1446019675943366663,1446002262833176579,2021-10-07 00:48:51 Pacific Daylight Time,2021-10-07,00:48:51,@Cryptofans_bnb 0x006d46a5b84f8efb600ff112b9571668c82b0be0  🤞🏼🤞🏼🤞🏼,[]
1446019645484326913,1445734925110366210,2021-10-07 00:48:43 Pacific Daylight Time,2021-10-07,00:48:43,@cz_binance ETH and then BNB,[]
1446019575875706884,1445960342228520960,2021-10-07 00:48:27 Pacific Daylight Time,2021-10-07,00:48:27,"@BetaFinance_ It is a project that has a lot of potential and that you can easily stand out from others, it has what it takes to achieve it.  @VinDAXOfficial  @xwg_games  @iamjosephyoung   #BNB  #beta  0x3c8B1D6773b83df464e3F8fCb5A6F83c4060b689","['bnb', 'beta']"
1446019481717858304,1442689790688829442,2021-10-07 00:48:04 Pacific Daylight Time,2021-10-07,00:48:04,@NFT_BlackMarket @garyvee #Nbm #bnb #bsc #nft,"['nbm', 'bnb', 'bsc', 'nft']"
1446019463569035266,1446019463569035266,2021-10-07 00:48:00 Pacific Daylight Time,2021-10-07,00:48:00,@BetaのおこぼれありつけるかもとBinanceにBNB滞留中。  少しくらいは買わせてもらえるのかな😁,[]
1446019446489767942,1445960342228520960,2021-10-07 00:47:56 Pacific Daylight Time,2021-10-07,00:47:56,@BetaFinance_ Great project.  BNB Address: 0x32d35e1dcb69e060dd76236a02195eaa5b694b1b,[]
1446019436389928961,1446019436389928961,2021-10-07 00:47:54 Pacific Daylight Time,2021-10-07,00:47:54,#UQC #UQCArmy $UQC to $1000 #UQCtothemoon #Uquidcoin #ShibArmy #safemoon #altcoin #altcoinseason #NFTD #NFTs #Defi #DSS #DTO #Bitcoin #BNB,"['uqc', 'uqcarmy', 'uqctothemoon', 'uquidcoin', 'shibarmy', 'safemoon', 'altcoin', 'altcoinseason', 'nftd', 'nfts', 'defi', 'dss', 'dto', 'bitcoin', 'bnb']"
1446019426084704256,1446013523423899652,2021-10-07 00:47:51 Pacific Daylight Time,2021-10-07,00:47:51,@TristansTweet Opened up longs on bnb and Luna. I think bnb is really about to move though,[]
1446019423291248646,1446019423291248646,2021-10-07 00:47:50 Pacific Daylight Time,2021-10-07,00:47:50,The only $BNB trade I'd take.  (If I were to take one).  https://t.co/l6fExFU9q3,[]
1446019361878200322,1446019361878200322,2021-10-07 00:47:36 Pacific Daylight Time,2021-10-07,00:47:36,$BNB is ready! 🚀🚀  $BTC $ETH $ADA #Altseason  https://t.co/Db1N9fvmR5,['altseason']
1446019357310545927,1446019357310545927,2021-10-07 00:47:35 Pacific Daylight Time,2021-10-07,00:47:35,#revenue #revenuecoin #bnb #bitcoin,"['revenue', 'revenuecoin', 'bnb', 'bitcoin']"
1446019357067210754,1446019357067210754,2021-10-07 00:47:35 Pacific Daylight Time,2021-10-07,00:47:35,Might be time to look at $BNB and $CAKE again with 'legit' NFTs coming to BSC,[]
1446019318727073796,1446019318727073796,2021-10-07 00:47:25 Pacific Daylight Time,2021-10-07,00:47:25,BNB break the WEDGE??  https://t.co/x0i4CFoTUG,[]
1446019315082280962,1445653131396739081,2021-10-07 00:47:25 Pacific Daylight Time,2021-10-07,00:47:25,@Cryptofans_bnb 0x69Ae2D465Ab6405fAB00A44bB548554E8e259216,[]
1446019269993582594,1446019269993582594,2021-10-07 00:47:14 Pacific Daylight Time,2021-10-07,00:47:14,Certainly one of the better projects out of there at the moment!   Take your moment to read up about @StrongNodeEdge before they go live! 🔥🤩  $SNE #Crypto #Blockchain #infrastructure #IDO $START $BNB #BSCGem,"['crypto', 'blockchain', 'infrastructure', 'ido', 'bscgem']"
1446019245192536068,1446019245192536068,2021-10-07 00:47:08 Pacific Daylight Time,2021-10-07,00:47:08,#BNB,['bnb']
